계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
barbieee,405,2025.11.13,1번째 방문,영수증,퓨전 음식점인데 넘 맛있어요❤️ 어쩌다 보니 다 차돌 올려져 있는 걸로 시켜버렸지만 ㅋㅋㅋ 친한 언니 졸업전시 뒷풀이로 맛있게 먹고 갑니당 개인적으로 덮밥 강추요!!,92,True
lee****,11,2026.03.25,1번째 방문,영수증,너무 분위기 좋고 혜화 데이트 코스 추천입니다 느좋입니다 남자친구도 맛집이라고 좋아해요,48,True
frompretty,759,2025.09.13,1번째 방문,영수증,"기대가 너무 컸던 탓인지, 혹은 배가 안 고파서였는지 전체적으로 아쉬웠어요. 양은 넉넉하게 나오는 편입니다. *차돌 들기름 막국수: 기대가 컸는데, 너무 느끼하고 달아서 다 먹지 못했어요. *명란치즈 순두부: 나쁘진 않지만, 그냥 평범한 순두부 맛에 가까웠어요. *미나리새우전: 바삭하고 맛은 괜찮았지만 기름져서 남긴 걸 포장해 왔어요. 너무 큰 기대 없이 가면 나쁘진 않을 것 같아요. 분위기나 양은 만족스러웠습니다.",234,True
렛츠 Lets,137,2025.11.15,1번째 방문,예약,"완성도가 있는 퓨전 한식집 입니다. 개인적인 만족도는 높았지만, 디테일한 부분에서 다소 아쉬운 부분도 있었어요. ""차슈 김치 덮밥""은, 차슈는 불향도 나면서 너무나 맛있었지만, 김치는 아삭한 식감만 있고 맛은 제목에 김치가 없었다면 모를 정도로 김치맛은 없었습니다. 3.5점 ""명란 치즈 순두부""는, 순두부 찌개 특유의 맵고 얼큰한 느낌은 없지만, 적절히 간이 된 국물에 치즈를 두룬 순두부를 한 입 먹으면, 서양식 스튜 같기도, 안매운 순두부 찌개 같기도 하면서 맛이 훌륭합니다. 4.5점 ""차돌 들기름 국수""는, 들기름 막국수에다 달콤 짭쪼름한 소스와 차돌 고기를 토핑을 해놓은 것인데, 살짝 느끼한 느낌이 들지만, 소스 때문인지 중독적인 맛이 느껴져요. 3.5점",373,True
사또사,962,2026.03.18,1번째 방문,영수증,흑임자크림수제비 넘 궁금했는데 드됴 먹어봤어요🫣 크림우동같기도 하고 고소하고 넘 맛있네요🥹🥹🥹 혜화동 오시면 드셔보세요!!!,69,True
qkr****,13,2026.03.25,1번째 방문,영수증,정말 맛있게 잘 먹었습니다! 재방문 또 할 것 같아요!!,31,True
핸즈스토리,1862,2026.02.06,1번째 방문,영수증,오늘 주문했던 음식의 기본 베이스는 치즈라 살짝 느끼함이 있었지만 대체로 맛있고 흥미로운 음식이 많았습니다. 분위기가 좋네요!,70,True
Mermers,78,2026.01.17,1번째 방문,예약,치즈 순두부가 진짜 대존맛이여,16,True
푸드파이터s,1065,2025.10.12,1번째 방문,영수증,음식 하나하나 매력있네요 사과 막걸리는 상큼하니 음식과 잘 어울려요 잘먹고 갑니다,45,True
김지은8235,4,2026.03.18,1번째 방문,영수증,다 맛있습니다 !!,10,True
scm,12,2026.03.20,1번째 방문,예약,노맛임 달기만하고 내용물도 부실함 웨이팅했는데.,26,True
KMK43,762,2025.11.16,1번째 방문,영수증,녹진하면서 고소한 크림에 쫀득한 수제비 조합👍 웨이팅만 빼면ㅠ 다 좋은곳:),42,True
샹빈,17,2026.03.16,1번째 방문,영수증,너무 맛있어요!! 들기름 막국수 맛있어요,22,True
fj****,75,2026.04.08,1번째 방문,영수증,맛있어요!!,6,True
S P,428,2025.11.14,1번째 방문,영수증,기다려서 먹을 정도는 아니지만 퓨전한식 좋아하시는 분은 추천이요 맛있어요,40,True
strikeoil,449,2025.10.07,1번째 방문,예약,명란치즈순두부 찌게 이조합이 맛이없을수 없어요!! 들깨국수 면이 쫄깃하고 들기름향이 풍미를 확 올려줘여 그리고 치즈감자전 파사삭 고소 너무 맛있었고 막걸리가 킥입니다!!! 같이 드세요,102,True
별땅달땅,436,2025.12.28,1번째 방문,영수증,"서비스 최악이네요. 부모님 모시고 방문했는데 덜덜 떨며 한참 기다렸습니다. 2년 전에도 방문한 적이 있었고, 그때는 좋았던 기억이 있어 이번에 함께 가야겠다 생각하고 캐치테이블로 미리 웨이팅까지 걸며 기다렸는데.. 좋은 기억마저 없어졌습니다. 6명이라 대기가 필요하다는 안내 받고 기다리는데 2명,4명 계속 들여보내더니 다시 문의하니 저희가 들어가려면 찢어져서 앉아야한다고 하더라구요 6명이라 기다려야 한다고 해서 한참을 기다렸는데.. 결국 웨이팅 번호는 4번 받고 저희보다 늦게온 사람들 10번대 20번대 다 보내고 한시간가량을 기다렸습니다. 직원 응대도 저희탓 하는 것 처럼 말해서 불쾌해 재방문 하진 않을 것 같습니다.",349,True
북북21,105,2025.09.07,1번째 방문,영수증,들기름막국수가 너무 땡겨서 찾아왔어요! 기대했던 그 맛이라 넘 만족하구요. 밑반찬으로 나온 백김치와 오이지가 너무 잘 어울려요!! 매장도 한옥을 개조해 시원한 목재 재질로 시원한 느낌이 듭니다. 담에는 순두부찌개도 먹어야겠어요 옆에서 드시는데 냄새 미침 🌿차돌들기름국수(1.3),155,True
es55,458,2026.01.28,1번째 방문,영수증,맛나요 특색있어요 음식이 빨리 나와요,20,True
pr****,566,2025.12.09,1번째 방문,영수증,일식이여서인지 좀 짰어요.. 맬 웨이팅이 길어 못가보다가 오늘 사람들이 없어서 갔는데 조금 실망했네요..,58,True
BIove,3061,2026.03.23,1번째 방문,영수증,.,1,True
877609,29,2026.03.28,1번째 방문,영수증,맛있어요,4,True
미주알고주알입니다,246,2026.02.26,1번째 방문,영수증,,0,True
연정정연,8,2026.03.27,1번째 방문,영수증,맛있어요!!,6,True
연금술사522,19,2025.11.26,1번째 방문,예약,가성비가 좋은 편은 아니지만 맛있고 구성이 특이하긴 함. 명란+치즈+순두부는 평범한 조합은 아닌 듯. ㅎㅎㅎ,60,True
두더지사냥,1090,2026.01.17,1번째 방문,영수증,꼬막비빔밥 맛있엇어요~~~!!~!!,19,True
